track_uri|danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|time_signature
6EXeU083oqElBMeTbARZsL|0.532|0.444|3|-8.593|1|0.0457|0.863|0.837|0.125|0.477|130.932|3
11ZrLKbTJz2sxPINIhAexQ|0.386|0.537|3|-7.116|0|0.0353|0.908|0.858|0.124|0.803|142.276|3
4mYYcIQxciThSnWVdUN844|0.48|0.868|9|-7.688|0|0.0352|0.855|0.816|0.177|0.961|105.472|1
67PhhOCaR2UII9GLgnaC3m|0.473|0.92|10|-7.331|0|0.0489|0.793|0.865|0.206|0.94|136.752|3
6q8HXgLcTtSDe45DSvzlOq|0.436|0.669|0|-5.929|1|0.045|0.855|0.907|0.104|0.964|141.555|3
0DbVtDdn9xuUk0kx9fplnE|0.391|0.495|4|-8.305|1|0.0543|0.946|0.909|0.1|0.259|111.449|5
3WOYZIgX3OxT7TA10lDQW9|0.556|0.423|2|-8.199|0|0.0412|0.929|1.63e-05|0.104|0.454|118.816|4
5KnaKtM9sTZL8gd9xJPAxY|0.484|0.692|0|-5.853|1|0.0494|0.757|0.814|0.104|0.384|85.212|4
6pfI1xDkCZLlIopSjuwoPK|0.359|0.759|4|-5.707|0|0.0338|0.895|0.863|0.112|0.513|104.952|4
4gajSXhH6oRJNongJvKpEf|0.417|0.5|7|-6.601|0|0.0352|0.837|8.61e-06|0.122|0.336|77.378|4
2llasupTCnns1i38mLfepd|0.326|0.751|0|-3.769|1|0.0346|0.851|0.858|0.263|0.607|77.239|4
3l1xJbEAE0bfqpf6Kf9u0Y|0.452|0.746|4|-7.539|0|0.0376|0.735|0.88|0.742|0.683|96.167|4
4ABonng5KHF7dhHMLoqlY2|0.324|0.346|5|-8.948|1|0.0518|0.949|0.806|0.171|0.371|78.118|3
2WnNGgpP4zGYVerMTTZIJ8|0.316|0.427|1|-10.839|1|0.0386|0.771|0.765|0.689|0.167|150.403|5
7i0xcsdO7aaxA8SqhIkSLA|0.512|0.77|7|-5.187|1|0.0313|0.782|0.851|0.109|0.901|107.368|4
6hDmPKYjjnKZMQaFEM2nPb|0.571|0.408|11|-7.837|0|0.0374|0.89|0.749|0.11|0.247|82.118|3
7DwV63gerLyas4R5QRS8Zb|0.429|0.729|7|-7.597|1|0.0315|0.907|0.868|0.102|0.672|104.013|4
0ewUsfVJiWpiJuXIHuqpr4|0.769|0.543|7|-12.609|0|0.0382|0.883|0.82|0.0915|0.633|104.918|3
